title,album,attribution,members,release_date,bpm,duration
TOKIMEKI Runners,TOKIMEKI Runners,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2018.11.21,180,4:36
Yume e no Ippo,TOKIMEKI Runners,Ayumu Uehara,Ayumu Uehara,2018.11.21,170,4:47
Diamond,TOKIMEKI Runners,Kasumi Nakasu,Kasumi Nakasu,2018.11.21,175,3:53
Anata no Risou no Heroine,TOKIMEKI Runners,Shizuku Osaka,Shizuku Osaka,2018.11.21,89,5:26
Starlight,TOKIMEKI Runners,Karin Asaka,Karin Asaka,2018.11.21,128,3:44
Meccha Going!!,TOKIMEKI Runners,Ai Miyashita,Ai Miyashita,2018.11.21,132,4:46
Nemureru Mori ni Ikitai na,TOKIMEKI Runners,Kanata Konoe,Kanata Konoe,2018.11.21,98,3:24
CHASE!,TOKIMEKI Runners,Setsuna Yuki,Setsuna Yuki,2018.11.21,170,4:18
Evergreen,TOKIMEKI Runners,Emma Verde,Emma Verde,2018.11.21,120,4:55
Doki Pipo * Emotion,TOKIMEKI Runners,Rina Tennoji,Rina Tennoji,2018.11.21,168,4:30
Love U my Friends,Love U my Friends,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2019.10.02,170,3:59
Kaika Sengen,Love U my Friends,Ayumu Uehara,Ayumu Uehara,2019.10.02,135,4:16
*Wonderland*,Love U my Friends,Kasumi Nakasu,Kasumi Nakasu,2019.10.02,160,3:04
Audrey,Love U my Friends,Shizuku Osaka,Shizuku Osaka,2019.10.02,150,3:54
Wish,Love U my Friends,Karin Asaka,Karin Asaka,2019.10.02,77,5:10
Yuu & Ai,Love U my Friends,Ai Miyashita,Ai Miyashita,2019.10.02,145,4:12
My Own Fairy-Tale,Love U my Friends,Kanata Konoe,Kanata Konoe,2019.10.02,110,4:40
MELODY,Love U my Friends,Setsuna Yuki,Setsuna Yuki,2019.10.02,115,4:29
Koe Tsunagou yo,Love U my Friends,Emma Verde,Emma Verde,2019.10.02,124,4:20
Teletelepathy,Love U my Friends,Rina Tennoji,Rina Tennoji,2019.10.02,145,4:13
Just Believe!!!,Just Believe!!!,Nijigasaki (10 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune",2020.09.02,180,4:48
TOKIMEKI Runners (Ch.17 Ver.),Just Believe!!!,Nijigasaki (10 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune",2020.09.02,186,4:05
Say Good-Bye Namida,Just Believe!!!,Ayumu Uehara,Ayumu Uehara,2020.09.02,190,4:01
Margaret,Just Believe!!!,Kasumi Nakasu,Kasumi Nakasu,2020.09.02,110,4:18
Yagate Hitotsu no Monogatari,Just Believe!!!,Shizuku Osaka,Shizuku Osaka,2020.09.02,100,4:20
Fire Bird,Just Believe!!!,Karin Asaka,Karin Asaka,2020.09.02,128,3:57
Tanoshii no Tensai,Just Believe!!!,Ai Miyashita,Ai Miyashita,2020.09.02,140,4:01
Marchen Star,Just Believe!!!,Kanata Konoe,Kanata Konoe,2020.09.02,188,4:47
LIKE IT! LOVE IT!,Just Believe!!!,Setsuna Yuki,Setsuna Yuki,2020.09.02,195,4:21
Aion no Uta,Just Believe!!!,Emma Verde,Emma Verde,2020.09.02,74,4:17
Analog Heart,Just Believe!!!,Rina Tennoji,Rina Tennoji,2020.09.02,135,4:40
Ketsui no Hikari,Just Believe!!!,Shioriko Mifune,Shioriko Mifune,2020.09.02,175,3:54
L! L! L! (Love the Life We Live),L! L! L! (Love the Life We Live),Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.10.13,170,4:09
Break The System,L! L! L! (Love the Life We Live),Ayumu Uehara,Ayumu Uehara,2021.10.13,200,3:44
TO BE YOURSELF,L! L! L! (Love the Life We Live),Kasumi Nakasu,Kasumi Nakasu,2021.10.13,148,3:56
Eieisa,L! L! L! (Love the Life We Live),Shizuku Osaka,Shizuku Osaka,2021.10.13,140,4:23
Turn it Up!,L! L! L! (Love the Life We Live),Karin Asaka,Karin Asaka,2021.10.13,170,3:10
Diabolic mulier,L! L! L! (Love the Life We Live),Ai Miyashita,Ai Miyashita,2021.10.13,122,4:05
Silent Blaze,L! L! L! (Love the Life We Live),Kanata Konoe,Kanata Konoe,2021.10.13,185,4:02
Yada!,L! L! L! (Love the Life We Live),Setsuna Yuki,Setsuna Yuki,2021.10.13,160,4:15
Itsu datte for you!,L! L! L! (Love the Life We Live),Emma Verde,Emma Verde,2021.10.13,158,4:00
First Love Again,L! L! L! (Love the Life We Live),Rina Tennoji,Rina Tennoji,2021.10.13,109,4:25
Concentrate,L! L! L! (Love the Life We Live),Shioriko Mifune,Shioriko Mifune,2021.10.13,216,3:27
Toy Doll,L! L! L! (Love the Life We Live),Mia Taylor,Mia Taylor,2021.10.13,175,4:11
Ye Mingzhu,L! L! L! (Love the Life We Live),Lanzhu Zhong,Lanzhu Zhong,2021.10.13,128,3:41
Walking Dream,Fly with You!!,Ayumu Uehara,Ayumu Uehara,2023.10.04,110,4:36
Senobi Shitatte,Fly with You!!,Kasumi Nakasu,Kasumi Nakasu,2023.10.04,134,4:11
Koakuma LOVE,Fly with You!!,Shizuku Osaka,Shizuku Osaka,2023.10.04,128,4:02
My Shadow,Fly with You!!,Karin Asaka,Karin Asaka,2023.10.04,122,3:45
Request for U,Fly with You!!,Ai Miyashita,Ai Miyashita,2023.10.04,136,4:13
Cooking with Love,Fly with You!!,Kanata Konoe,Kanata Konoe,2023.10.04,156,3:51
Cherry Bomb,Fly with You!!,Setsuna Yuki,Setsuna Yuki,2023.10.04,210,3:39
Koisuru Sunflower,Fly with You!!,Emma Verde,Emma Verde,2023.10.04,106,4:27
Watashi wa Magnet,Fly with You!!,Rina Tennoji,Rina Tennoji,2023.10.04,95,3:53
Koufukuron,Fly with You!!,Shioriko Mifune,Shioriko Mifune,2023.10.04,134,4:20
Lemonade,Fly with You!!,Mia Taylor,Mia Taylor,2023.10.04,134,3:58
5201314,Fly with You!!,Lanzhu Zhong,Lanzhu Zhong,2023.10.04,130,3:57
Fly with You!!,Fly with You!!,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.10.04,154,4:34
Muteki-kyuu*Believer,Single,Kasumi Nakasu,Kasumi Nakasu,2020.07.29,140,4:04
Mirai Harmony,Single,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.07.29,145,4:09
Nijiiro Passions!,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.10.21,180,4:16
Sweet Eyes,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.10.21,130,4:53
"NEO SKY, NEO MAP!",Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.11.04,142,4:38
